iops,flops
2.72179901,2.248408085
2.71966478,2.24858984
2.72123586,2.243575985
2.70901162,2.24543221
2.704388855,2.24622783
2.71289088,2.249198035
2.718318085,2.245122705
2.71589122,2.248457715
2.72030584,2.25155245
2.72667997,2.25556555
2.696149575,2.247968205
2.707439455,2.256946265
2.7058479,2.259013715
2.719860605,2.24828604
2.700149165,2.244969195
2.71289095,2.2453921
2.72174007,2.249603195
2.699938465,2.245142865
2.700121025,2.265478845
2.718886835,2.247084385
2.69634176,2.25218728
2.69976707,2.25011682
2.712170965,2.25064329
2.73619241,2.2473269
2.72422787,2.247341285
2.72116999,2.25459017
2.721062155,2.252741155
2.602449255,1.6913435
2.275286475,2.03450513
2.70727002,2.25382822
2.717268505,2.249315705
2.712897425,2.247844445
2.70541397,2.25384537
2.71403818,2.255566565
2.713528965,2.256184385
2.73180754,2.25904595
2.706388265,2.252180035
2.717265705,2.255140545
2.708272665,2.251780265
2.713528895,2.249919525
2.73148575,2.25312304
2.71241117,2.25709925
2.72537601,2.25729238
2.715604885,2.25937887
2.71863389,2.25942521
2.7367046,2.25500177
2.705236345,2.254068075
2.696829835,2.25791706
2.71908406,2.221974265
2.70972485,2.262423345
2.699698225,2.23171088
2.71118834,2.26144121
2.725417275,2.26565647
2.729523615,2.25823031
2.710829135,2.260238015
2.72032327,2.26639581
2.70778235,2.25601852
2.718742635,2.26217635
2.712892665,2.257334485
2.724814295,2.252727225
2.71452748,2.246191885
2.70901841,2.25356852
2.72745655,2.26032821
2.728016515,2.25390298
2.735852525,2.252199145
2.718530185,2.25179619
2.722460895,2.24802067
2.71571573,2.244795315
2.715215965,2.256439815
2.72460118,2.25331694
2.71712721,2.25292711
2.720969055,2.254341845
2.72017571,2.257802505
2.69216528,2.261650685
2.72165376,2.259045775
2.696150975,2.25830087
2.708084575,2.255491945
2.695629055,2.25508395
2.714219865,2.253893985
2.717079995,2.259010985
2.711524585,2.256565955
2.700793025,2.256232895
2.71084618,2.248216495
2.705145065,2.25661576
2.71434499,2.249039205
2.716273035,2.248294685
2.716904365,2.260535935
2.394620235,2.07930233
2.02916574,2.14535433
2.72367221,2.253238015
2.709529025,2.254269815
2.72172334,2.244552905
2.721871915,2.253737605
2.73366457,2.255580215
2.728895155,2.2538131
2.728155185,2.2510628
2.7068587,2.247784595
2.706083345,2.25330287
2.70550637,2.245804085
2.71352613,2.247262675
2.696011465,2.245587505
2.71835242,2.24634494
2.71153841,2.251498935
2.712251675,2.25650166
2.706904865,2.251296075
2.718597385,2.240562975
2.72756386,2.259161415
2.7266148,2.26051084
2.718317525,2.257673495
2.723014945,2.259096945
2.72387962,2.260281905
2.722639675,2.259056625
2.727551435,2.25908046
2.726419675,2.257692535
2.711966985,2.24708064
2.725597595,2.26215843
2.72148548,2.26014047
2.73389228,2.26250178
2.716284095,2.25299606
2.72170682,2.25420097
2.75063026,2.249279935
2.712183915,2.25673539
2.70278372,2.245016865
2.707976075,2.24663145
2.70411162,2.25173564
2.72081761,2.250053155
2.70159407,2.24692223
2.72213998,2.24997136
2.720034485,2.23775643
2.71413765,2.24773542
2.71895701,2.24333788
2.699804555,2.24401863
2.715764555,2.26038323
2.69569489,2.241050245
2.706926355,2.258364115
2.71920453,2.253705335
2.70447688,2.2540378
2.70762457,2.25073548
2.71792115,2.250087595
2.711621885,2.249094435
2.690922185,2.253710305
2.703020565,2.247017325
2.725965725,2.245899075
2.707517085,2.23870409
2.74172598,2.241656865
2.699593435,2.220073485
2.705583405,2.22703572
2.59578298,1.447457515
2.4815938,1.988754635
2.70264365,2.2615635
2.72026713,2.25928556
2.735481315,2.25672524
2.727307975,2.25569379
2.742033875,2.255882335
2.715902595,2.26414139
2.716511175,2.25759233
2.71561087,2.262435385
2.704682225,2.257369625
2.712867815,2.26298751
2.71162304,2.25105062
2.704714565,2.24974092
2.74264515,2.258095735
2.70938906,2.247679385
2.72534332,2.258571805
2.711204195,2.252446455
2.727509295,2.256828
2.766182125,2.259659185
2.726484915,2.25693895
2.722439265,2.259631605
2.73284053,2.25951565
2.73255941,2.24980609
2.725643585,2.253519835
2.74472975,2.256883545
2.72692497,2.261592165
2.71616856,2.26084166
2.734711735,2.26145724
2.737751135,2.2566439
2.718594025,2.2534218
2.732862545,2.25323511
2.729758255,2.241224055
2.72627754,2.245522475
2.728749765,2.247572845
2.721839155,2.269291115
2.708503735,2.2498042
2.700277895,2.237382525
2.724884645,2.24928382
2.71182163,2.2474088
2.732687685,2.246860525
2.741284875,2.25432074
2.74004388,2.25424759
2.72291271,2.2512273
2.720218865,2.25238202
2.72070505,2.243918355
2.70606546,2.247192745
2.725776585,2.24627732
2.72835612,2.2485071
2.722202735,2.250879715
2.70429243,2.2528716
2.714445125,2.25930586
2.711752505,2.257871595
2.708151845,2.244744145
2.736820975,2.25807148
2.701482,2.25106427
2.71253073,2.25385293
2.7106646,2.253426735
2.712609515,2.24506044
2.717313025,2.24624603
2.514365595,1.587268795
1.57483788,2.039692515
2.72503868,2.253102425
2.729766655,2.254149135
2.71943091,2.256092335
2.72890779,2.25851836
2.730148015,2.25398579
2.702872095,2.254339115
2.717157135,2.25230775
2.72011838,2.25528401
2.692315255,2.256502535
2.711186695,2.254060935
2.716859355,2.254324415
2.719717875,2.257043005
2.707404105,2.25789536
2.71593245,2.25238237
2.75458211,2.25964347
2.74377614,2.2595391
2.7433441,2.25830367
2.691838345,2.25592976
2.727163215,2.25682079
2.735796525,2.255489915
2.70852183,2.25204833
2.70183235,2.260783
2.70889101,2.259383315
2.714505955,2.25979824
2.739200065,2.265176585
2.72333663,2.26416631
2.717537515,2.260666485
2.727013695,2.265137
2.728526815,2.26568006
2.724445815,2.25872528
2.749345585,2.265357745
2.739899785,2.264228715
2.75519797,2.263521295
2.73421673,2.26451232
2.73567119,2.265639425
2.74108751,2.26178106
2.731646435,2.26477517
2.73193123,2.26261833
2.72078282,2.26407867
2.731926995,2.27043152
2.741582515,2.260445355
2.73668864,2.263510375
2.726531815,2.25797264
2.725941225,2.265253865
2.72835955,2.255035825
2.71105541,2.25896447
2.724032885,2.2618176
2.73669732,2.259149095
2.71423642,2.25776901
2.7186908,2.26315446
2.71352508,2.268471345
2.72376965,2.26841307
2.727672675,2.267563725
2.707899145,2.259654985
2.726934875,2.259315835
2.723685895,2.258463305
2.7288821,2.261548275
2.733332175,2.26201227
1.96010675,1.350611745
2.551560305,2.221880675
2.713514615,2.263351825
2.706205495,2.262588405
2.703986355,2.261214375
2.72178025,2.274437445
2.728594015,2.26251074
2.72116173,2.26336523
2.730030345,2.247786975
2.71685162,2.249236535
2.741654055,2.25317715
2.74105538,2.256901675
2.726784165,2.24471051
2.71962292,2.201689735
2.742516735,2.240165585
2.73086856,2.240614985
2.72657525,2.25120273
2.732630775,2.246619515
2.716645995,2.263366875
2.73671258,2.259719245
2.71459594,2.252267675
2.71549061,2.257760575
2.729960905,2.249473275
2.73108801,2.250517115
2.69687509,2.253963845
2.70285386,2.251471565
2.698064075,2.25234863
2.70817645,2.255954995
